Name,Other Names,Environment,Distance,M_V,<mu_V>_e,Stellar mass,R_e,b/a,V_r,V_r_up,V_r_down,stellar_sigma,stellar_sigma_up,stellar_sigma_down,GC_sigma,GC_sigma_up,GC_sigma_down,N_gc,N_gc_up,N_gc_down,Mass_weighted_age,Mass_weighted_age_up,Mass_weighted_age_down,Mass_weighted_metallicity [Z/H],Mass_weighted_metallicity [Z/H]_up,Mass_weighted_metallicity [Z/H]_down,[Alpha/Fe],[Alpha/Fe]_up,[Alpha/Fe]_down,References
VCC 1287,"NGVSUDG-14; LEDA41311",1,16.5,-15.6,25.71,2,3.7,0.8,1116,2,2,19,6,6,35,12,12,22,8,8,9.09,1.07,1.07,-1.06,0.34,0.34,0.56,0.11,0.11, "Beasley2016, Gannon2020, Gannon2021, Lim2020, Toloba2023"
VCC 615,"NGVSUDG-A04; LEDA40181",1,17.7,-14.2,26,0.73,2.3,-999,2089,16,2.7,-999,-999,-999,36,22,18,30.3,9.6,9.6,-999,-999,-999,-999,-999,-999,-999,-999,-999, "Lim2020, Toloba2023"
VCC 811,"NGVSUDG-05; LEDA40541",1,16.5,-14.3,26.3,0.73,2.71,-999,982,29,29,-999,-999,-999,64,33,19,15.8,8.4,8.4,-999,-999,-999,-999,-999,-999,-999,-999,-999, "Lim2020, Toloba2023"
VLSB-B,NGVSUDG-11,1,12.7,-12.3,27.6,0.22,1.9,0.83,40,14,14,-999,-999,-999,45,14,10,26.1,9.9,9.9,-999,-999,-999,-999,-999,-999,-999,-999,-999, "Toloba2018, Lim2020, Toloba2023"
VLSB-D,NGVSUDG-04,1,16.5,-13.7,26.85,0.58,13.4,0.45,1035,6,5,-999,-999,-999,12,6,6,13,6.9,6.9,-999,-999,-999,-999,-999,-999,-999,-999,-999, "Toloba2018, Lim2020, Toloba2023"
WLM,,2,0.93,-14.25,26.16,0.41,2.11,0.35,-130,1,1,17.5,2,2,-999,-999,-999,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999, "mcconnachie2012, Forbes2018"
Yagi098,,1,100,-14.6,25.64,1.07,2.3,0.88,5980,82,82,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.72,2.16,2.16,-0.72,0.2,0.2,-999,-999,-999, "Yagi2016, Alabi2018, FerreMateu2018"
Yagi275,"GMP3418; J125929.89+274303.0",1,100,-15.3,24.83,0.94,2.9,0.49,4847,4,4,23,6,6,-999,-999,-999,-999,-999,-999,4.63,1.5,1.5,-0.37,0.17,0.17,-0.25,0.38,0.38, "Yagi2016, Alabi2018, Chilingarian2019, FerreMateu2018"
Yagi276,DF28,1,100,-14.86,25.37,1.41,2.25,0.91,7343,102,102,-999,-999,-999,-999,-999,-999,-999,-999,-999,4.24,2.32,2.32,-0.38,0.79,0.79,-999,-999,-999, "Yagi2016, Alabi2018, FerreMateu2018"
Yagi358,"Y358; GMP3651",1,100,-14.8,25.6,1.38,2.3,0.83,7969,2,2,19,3,3,-999,-999,-999,28,5.3,5.3,9.81,2.46,2.46,-1.56,0.6,0.6,1.4,0.2,0.2, "vanDokkum2017, Lim2018, Gannon2023"
Yagi418,,1,100,-14.11,25.19,1.24,1.58,0.79,8335,187,187,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.87,2.02,2.02,-1.1,0.85,0.85,0.17,0.31,0.31, "Yagi2016, Alabi2018, FerreMateu2018"
